qid;univers;titre_fr;titre_en;sources;potentiel;accord;statut;langues_ecrites;ajoute;ecrit;publie;phrase;apercu
Q13229;arts;"Taa";"Taa language";"insolite+phare";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Plus de cent consonnes, dont des dizaines de clics : le plus vaste inventaire de sons jamais décrit dans une langue humaine.";"Le taa, aussi appelé ǃxóõ, aussi écrit ǃxoon, est une langue tuu parlée au Botswana et en Namibie. Cette langue est notable pour son nombre élevé de phonèmes."
Q5194;vivant;"Tardigrada";"Tardigrade";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Il survit au vide spatial, à 150 °C, à -272 °C et à mille fois la dose de radiations qui nous tuerait.";"Les tardigrades (Tardigrada), parfois surnommés oursons d'eau, forment un phylum du règne animal, regroupé avec les arthropodes et les onychophores au sein du clade des panarthropodes."
Q745767;terre;"Terre Marie Byrd";"Marie Byrd Land";"insolite+phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Un million et demi de kilomètres carrés d'Antarctique que pas un seul pays au monde ne revendique.";"La terre Marie Byrd ou terre de Marie Byrd est une région de l'Antarctique occidental."
Q1077741;sciences;"Théorème de la boule chevelue";"Hairy ball theorem";"insolite+phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Il est mathématiquement impossible de coiffer une sphère sans épi, ce qui garantit qu'il existe toujours un point sans vent sur Terre.";"En mathématiques, le théorème de la boule chevelue est un résultat de topologie différentielle. Il s'applique à une sphère supportant en chaque point un vecteur, imaginé comme un cheveu, tangent à la surface."
Q123102;vivant;"Thylacine";"Thylacine";"phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Ce marsupial rayé ouvrait la gueule à quatre-vingts degrés ; le dernier est mort de froid en 1936, oublié dehors la nuit par un gardien.";"Le thylacine, également appelé loup marsupial, loup de Tasmanie ou tigre de Tasmanie (en palawa kani : kaparunina, nom scientifique : Thylacinus cynocephalus), est un mammifère carnivore de la taille d’un loup, au pelage tigré."
Q23986556;cosmos;"TRAPPIST-1";"TRAPPIST-1";"phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"Sept planètes rocheuses tiennent dans un espace plus petit que l'orbite de Mercure ; depuis l'une, les autres paraissent aussi grosses que notre Lune.";"TRAPPIST-1, aussi nommé 2MASS J23062928-0502285, est une naine rouge ultra-froide, un peu plus grande mais beaucoup plus massive que la planète Jupiter, et beaucoup plus froide que le Soleil."
Q219217;histoire;"Tulipomanie";"Tulip mania";"insolite+phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"Un seul bulbe de tulipe s'est échangé contre une maison sur un canal d'Amsterdam avant l'effondrement du marché en 1637.";"La tulipomanie (en néerlandais : tulpenmanie ; en anglais : tulip mania) est le soudain engouement pour les tulipes dans le nord des Provinces-Unies au milieu du XVIIe siècle, qui entraîna l'augmentation démesurée puis l'effondrement des cours du bulbe de tulipe : ce qu’on appelle la « crise de la tulipe » en histoire économique."
Q36931;arts;"";"Ubykh language";"insolite+phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-04;"La dernière voix s'est tue en 1992, emportant une langue du Caucase à quatre-vingts consonnes et deux voyelles.";"L’oubykh (autonyme tʷaχəbza) est une langue caucasienne de la famille des langues abkhazo-adygiennes parlée autrefois en Turquie et en Circassie."
Q118388;terre;"Vallée de la Mort";"Death Valley";"phare+saviez";10;1;ecrit;"fr";2026-09-03;2026-09-07;;"Le thermomètre y a affiché cinquante-six degrés et sept dixièmes en 1913, record mondial jamais égalé depuis.";"La vallée de la Mort (en anglais : Death Valley) est une vallée du désert des Mojaves (États-Unis) située en Californie et incluse dans le parc national de la vallée de la Mort."
Q676802;cosmos;"Vanguard 1";"Vanguard 1";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Lancé en 1958, ce satellite mort de la taille d'un pamplemousse est le plus vieil objet humain encore en orbite.";"Vanguard 1 est le deuxième satellite artificiel lancé par les États-Unis et le premier lancement réussi dans le cadre du programme Vanguard. Vanguard 1 est un petit satellite (1,47 kg) placé en orbite terrestre le 17 mars 1958."
Q1395757;histoire;"Vassili Arkhipov";"Vasily Arkhipov";"insolite+phare+saviez";10;5;publie;"fr";2026-09-03;;2026-09-05;"Sur un sous-marin soviétique asphyxié pendant la crise de Cuba, un seul homme a refusé de valider le tir d'une torpille nucléaire.";"Vassili Aleksandrovitch Arkhipov (en russe : Василий Александрович Архипов) est un officier de la marine soviétique, né le 30 janvier 1926 à Zvorkovo et mort le 19 août 1998 à Staraïa Koupavna."
Q1192659;histoire;"";"Vela incident";"phare+saviez";10;8;ecrit;"fr";2026-09-03;2026-09-07;;"Un satellite américain a détecté en 1979 un double flash d'explosion nucléaire dans l'Atlantique sud, et personne n'a jamais reconnu l'essai.";"L'incident de Vela est la possible détection d'un essai nucléaire par un satellite américain de détection d'essais atomiques nommé Vela. Cet incident eut lieu le 22 septembre 1979."
Q248404;mysteres;"Vesna Vulović";"Vesna Vulović";"insolite+phare";10;2;publie;"fr";2026-09-03;;2026-09-05;"Éjectée dans un fragment de fuselage à plus de dix kilomètres d'altitude en 1972, elle a survécu et a repris l'avion sans jamais avoir peur.";"Vesna Vulović (en serbe en écriture cyrillique : Весна Вуловић), née le 3 janvier 1950 à Belgrade (Yougoslavie) et morte le 23 décembre 2016 à Belgrade (Serbie), est une hôtesse de l'air yougoslave qui a été l'unique survivante après l'explosion du vol JAT 367 en 1972."
Q2060108;arts;"";"Vexations";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Satie a écrit une page à répéter 840 fois : la première exécution intégrale a duré dix-huit heures et épuisé plusieurs pianistes relayés.";"Vexations est une œuvre pour piano composée par Erik Satie en 1893. En tête de partition, le compositeur a écrit cette « Note de l'auteur » : « Pour se jouer 840 fois de suite ce motif, il sera bon de se préparer au préalable, et dans le plus grand silence, par des immobilités sérieuses."
Q48469;cosmos;"Voyager 1";"Voyager 1";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Sa sonde emporte un ordinateur moins puissant qu'une clé de voiture et communique encore avec un émetteur de 23 watts à 24 milliards de kilomètres.";"Voyager 1 est une sonde spatiale, jumelle de Voyager 2, du programme spatial Voyager de la NASA. Lancée le 5 septembre 1977, elle est destinée à l'étude des planètes externes du Système solaire, qui n'ont avant elles été observées qu'au moyen de télescopes situés sur Terre, notamment les systèmes de Jupiter et de Saturne."
Q156926;vivant;"Welwitschia mirabilis";"Welwitschia";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Cette plante du désert de Namibie ne fabrique que deux feuilles dans toute son existence, et elles poussent sans jamais s'arrêter pendant plus de mille ans.";"Welwitschia mirabilis est une espèce de plantes. C'est la seule espèce du genre Welwitschia et de la famille des Welwitschiaceae."
Q901206;mysteres;"Xin Zhui";"Xin Zhui";"insolite+phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-05;"Cette femme morte il y a 2 100 ans a été exhumée avec la peau souple, les articulations mobiles et du sang liquide dans les veines.";"Xin Zhui (chinois : 辛追 ; morte en 163 avant notre ère), également connue sous le nom de madame Dai ou marquise de Dai, était une noble chinoise, épouse de Li Cang (利 苍), le marquis de Dai, au cours de la dynastie des Han (de -206 à 220 apr."
Q18325885;cosmos;"(486958) Arrokoth";"486958 Arrokoth";"phare+saviez";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"Cet objet de 36 kilomètres survolé en 2019 ressemble à un bonhomme de neige et n'a pas changé depuis 4,5 milliards d'années.";"(486958) Arrokoth (prononcé /ˈærəkɒθ/, désignation provisoire 2014 MU69), d'abord surnommé officieusement Ultima Thulé, est un petit corps du système solaire binaire à contact de 33,5 × 19,5 km, située à 43,4 ua du Soleil."
Q211498;cosmos;"2006 RH120";"2006 RH120";"phare+saviez";9;5;ecrit;"fr";2026-09-03;2026-09-07;;"La Terre a possédé une deuxième lune pendant treize mois en 2006 : elle mesurait cinq mètres.";"2006 RH120 est un petit astéroïde d'environ 4 mètres de diamètre qui, entre septembre 2006 et juin 2007, était temporairement en orbite autour de la Terre. Ce corps céleste a été éjecté de son orbite terrestre en juillet 2007, après avoir parcouru quatre orbites autour de la Terre pendant une durée totale d'environ un an."
Q12030;arts;"4′33″";"4′33″";"insolite+phare+saviez";9;6;ecrit;"fr";2026-09-03;2026-09-07;;"Le pianiste ne joue aucune note pendant quatre minutes trente-trois, et cette absence de musique est protégée par le droit d'auteur.";"4′33″ est une œuvre musicale composée par John Cage, souvent décrite comme « quatre minutes trente-trois secondes de silence » mais qui est en fait constituée de sons de l'environnement que les auditeurs entendent ou créent lorsqu'elle est interprétée."
Q50668;cosmos;"55 Cancri e";"55 Cancri Ae";"phare";9;2;ecrit;"fr";2026-09-03;2026-09-07;;"Une planète deux fois plus grande que la Terre dont une partie du manteau pourrait être du carbone cristallisé.";"55 Cancri e, formellement 55 Cancri Ae, également appelée Rho1 Cancri (A)e, HD 75732 (A)e ou encore Janssen depuis décembre 2015, est une planète extrasolaire (exoplanète) en orbite autour de l'étoile 55 Cancri A, une naine jaune située à une distance d'environ 40 années-lumière du Soleil, dans la constellation zodiacale du Cancer."
Q249302;cosmos;"61 Cygni";"61 Cygni";"phare";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"La première distance stellaire jamais mesurée a fait bondir l'univers connu à des dizaines de milliers de milliards de kilomètres.";"61 Cygni (V1808 Cyg), dite étoile de Bessel ou étoile volante de Piazzi, est un système binaire de deux étoiles naines orange de classe spectrale K quasi identiques située dans la constellation du Cygne."
Q1421821;arts;"";"A Hundred Thousand Billion Poems";"insolite+phare+saviez";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"Dix sonnets découpés en bandes produisent cent mille milliards de poèmes : plus de deux cents millions d'années de lecture.";"Cent mille milliards de poèmes est un livre animé de poésie combinatoire de Raymond Queneau, publié en 1961 aux éditions Gallimard."
Q113382;histoire;"Accident nucléaire de Palomares";"1966 Palomares accident";"phare+saviez";9;4;publie;"fr";2026-09-03;;2026-09-05;"Quatre bombes H sont tombées sur un village espagnol en 1966, et un ambassadeur américain s'est baigné devant les photographes pour rassurer les touristes.";"L'accident nucléaire de Palomares, survenu le 17 janvier 1966, est la conséquence d'une collision entre un Boeing B-52G du Strategic Air Command et un KC-135 Stratotanker de l'US Air Force, au cours d'un ravitaillement en vol."
Q475736;arts;"Acier de Damas";"Damascus steel";"phare";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"Les lames à motifs ondés fabriquées jusqu'au XVIIIe siècle contenaient des nanotubes de carbone, et le procédé n'a jamais été retrouvé.";"L'acier de Damas (aussi appelé acier damassé, ou encore acier Damas) est le nom donné à deux types d'aciers à l'apparence particulière : en premier lieu, historiquement, il s'agit d'un acier, aussi appelé wootz, élaboré en Inde et forgé sur place ainsi qu'au Moyen-Orient, réputé pour sa qualité et c"
Q13420313;mysteres;"Affaire du pain maudit";"1951 Pont-Saint-Esprit mass poisoning";"phare";9;3;publie;"fr";2026-09-03;;2026-09-05;"En 1951, un village du Gard bascule en une nuit dans l'hallucination collective : cinq morts, des dizaines d'internements, cause toujours débattue.";"L’affaire du pain maudit est une série d'intoxications alimentaires qui frappe la France pendant l'été 1951, dont la plus sérieuse à partir du 16 août à Pont-Saint-Esprit (Gard) où elle fera cinq, voire sept morts, cinquante personnes étant internées dans des hôpitaux psychiatriques, et deux cent ci"
Q133868166;mysteres;"Affaire Elizabeth Canning";"";"phare";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"En 1753, une servante disparue un mois est revenue squelettique en accusant deux femmes ; c'est elle qui fut déportée pour parjure, et le débat dure toujours.";"Elizabeth Canning, née le 17 septembre 1734 et décédée en juin 1773, est une servante anglaise qui a été au centre d'une affaire judiciaire qui compte parmi les plus célèbres débats criminels du XVIIIe siècle en Angleterre."
Q1049105;sciences;"Affaire Sokal";"Sokal affair";"insolite+phare";9;2;ecrit;"fr";2026-09-03;2026-09-07;;"Un physicien a fait accepter dans une revue prestigieuse un article volontairement dépourvu de sens, puis a révélé la supercherie le jour même de sa parution.";"L’affaire Sokal est l'ensemble des suites en matière de controverses de la publication dans la revue Social Text d'un article du physicien Alan Sokal qui s'avéra être un canular."
Q2745712;terre;"Aïn Sefra";"Aïn Séfra";"phare";9;0;ecrit;"fr";2026-09-03;2026-09-07;;"Il a neigé sur les dunes du Sahara algérien à plusieurs reprises depuis 2016, après trente-sept ans sans un seul flocon.";"Aïn Sefra (en arabe: عين الصفراء), est une commune de la wilaya de Naâma en Algérie, située dans l'ouest du pays. C'est une oasis située dans les monts des Ksour."
Q504969;arts;"Alessandro Moreschi";"";"phare";9;1;publie;"fr";2026-09-03;;2026-09-05;"Seule voix de castrat jamais enregistrée : quelques cylindres de 1902 conservent un timbre que plus personne n'entendra jamais en vrai.";"Alessandro Moreschi, né le 11 novembre 1858 à Monte Compatri et mort le 21 avril 1922 à Rome, est un chanteur italien, un des derniers castrats de la fin du XIXe siècle, surnommé « l'ange de Rome »""."
Q24628;vivant;"Alex (perroquet)";"Alex (parrot)";"insolite+phare+saviez";9;2;publie;"fr";2026-09-03;;2026-09-05;"Ce perroquet gris répondait « aucun » quand deux objets ne différaient par rien, une notion de zéro qu'on croyait hors de portée d'un cerveau d'oiseau.";"Alex, né en 1976 au Royaume-Uni et mort le 6 septembre 2007 à Waltham (Massachusetts), est un perroquet gris du Gabon. De 1977 à sa mort, il a fait l'objet d'une expérience scientifique menée par l'éthologue Irene Pepperberg visant à étudier les capacités cognitives des animaux et en particulier les capacités du perroquet à comprendre le langage humain."
Q76323;sciences;"Alfred Wegener";"Alfred Wegener";"phare";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Il a proposé la dérive des continents en 1912, s'est fait rire au nez pendant cinquante ans, et est mort dans les glaces avant d'avoir raison.";"Alfred Wegener, né le 1er novembre 1880 à Berlin et mort en novembre 1930 au Groenland près de la base Eismitte, est un astronome et météorologue allemand de formation et principalement connu pour sa théorie de la « dérive des continents » proposée en 1912 puis publiée en 1915."
Q1970098;arts;"Alphabet shavien";"Shavian alphabet";"insolite+phare";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Bernard Shaw a légué sa fortune à qui créerait un alphabet anglais vraiment phonétique ; un concours a désigné le vainqueur après sa mort.";"L’alphabet shavien ou l’alphabet de Shaw est une écriture construite, un alphabet créé en 1950 pour une écriture simple et phonétique de la langue anglaise sans les difficultés de l’orthographe conventionnelle."
Q2278545;cosmos;"";"AMSAT-OSCAR 7";"phare";9;2;publie;"fr";2026-09-03;;2026-09-05;"Déclaré mort en 1981, ce satellite radioamateur s'est réveillé vingt-et-un ans plus tard quand sa batterie en court-circuit s'est ouverte.";"AMSAT-OSCAR 7, or AO-7, is the second Phase 2 amateur radio satellite constructed by the Radio Amateur Satellite Corporation (AMSAT). It was launched into Low Earth Orbit on November 15, 1974 and remained operational until a battery failure in 1981."
Q133818;vivant;"";"Angraecum sesquipedale";"phare";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"Devant son éperon de trente centimètres, Darwin a prédit l'existence d'un papillon à trompe démesurée ; on l'a trouvé quarante et un ans après sa mort.";"Angraecum sesquipedale, l'étoile de Madagascar, est une espèce de plantes à fleurs de la famille des Orchidaceae endémique de Madagascar."
Q26387;mysteres;"Anguilla anguilla";"European eel";"phare";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"Elle traverse l'Atlantique pour se reproduire dans la mer des Sargasses, et personne n'a jamais observé deux anguilles s'y accoupler.";"Anguilla anguilla, l’Anguille d'Europe ou Anguille commune est une espèce de poissons appartenant à la famille des Anguillidés. Elle mesure de 40 cm à 150 cm et pèse jusqu'à 4 kg pour les femelles."
Q285563;histoire;"Anna Anderson";"Anna Anderson";"phare+saviez";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Pendant soixante ans elle a convaincu le monde d'être la grande-duchesse Anastasia ; l'ADN a révélé après sa mort qu'elle était une ouvrière polonaise.";"Anna Anderson, morte le 12 février 1984 à Charlottesville, aux États-Unis sous le nom d'Anastasia Manahan, serait, selon une théorie populaire, la princesse Anastasia de Russie, la quatrième fille du tsar Nicolas II, qui aurait échappé à la mort lors du massacre de sa famille le 17 juillet 1918 à Iekaterinbourg."
Q19606402;cosmos;"Anneau de Phœbé";"";"phare+saviez";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"Le plus grand anneau du Système solaire est si ténu qu'il a fallu attendre 2009 et l'infrarouge pour le remarquer.";"L'anneau de Phœbé est le plus grand des anneaux de Saturne et des anneaux planétaires du Système solaire : s'il était observable à l'œil nu depuis la Terre, sa taille apparente dans le ciel nocturne serait de l'ordre du double de celle d'une pleine lune."
Q2908;mysteres;"Antoine de Saint-Exupéry";"Antoine de Saint-Exupéry";"phare+saviez";9;2;ecrit;"fr";2026-09-03;2026-09-07;;"Sa gourmette a été remontée dans un filet de pêche en 1998, et l'épave de son avion identifiée au large de Marseille deux ans plus tard.";"Antoine de Saint-Exupéry, né le 29 juin 1900 à Lyon et disparu en vol le 31 juillet 1944 au large des côtes de Marseille, est un aviateur, écrivain, poète et reporter français."
Q273314;sciences;"Antonio Meucci";"Antonio Meucci";"phare+saviez";9;0;ecrit;"fr";2026-09-03;2026-09-07;;"Faute des dix dollars nécessaires au renouvellement de son brevet, l'homme qui avait fait parler un fil est mort ruiné à New York.";"Antonio Meucci (né le 13 avril 1808 à San Frediano, un quartier de la commune de Florence, alors dans l'Empire français, et mort le 18 octobre 1889 à Staten Island, quartier de New York, aux États-Unis) est un inventeur italien, notamment connu pour sa contribution à l'invention du téléphone."
Q615578;terre;"Aoga-shima";"Aogashima";"phare";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"Cent soixante personnes vivent au fond d'un cratère volcanique lui-même niché dans un cratère plus grand, à 350 kilomètres de Tokyo.";"Aoga-shima ou Ao-ga-shima (青ヶ島, Aogashima) est une île volcanique japonaise de la mer des Philippines, située à environ 358 kilomètres au sud de Tokyo et 64 kilomètres au sud de Hachijō-jima."
Q43653;cosmos;"Apollo 11";"Apollo 11";"phare+saviez";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"Le calculateur de bord a lancé cinq alarmes de surcharge pendant la descente finale, et un ingénieur de 26 ans a dit de continuer.";"Apollo 11 est une mission du programme spatial américain Apollo au cours de laquelle, pour la première fois, des hommes se sont posés sur la Lune, le lundi 21 juillet 1969."
Q674275;vivant;"";"Arctic ground squirrel";"insolite+phare";9;0;publie;"fr";2026-09-03;;2026-09-05;"Ce petit rongeur laisse son sang descendre à moins trois degrés sans geler et reste ainsi surfondu des semaines, seul mammifère connu à le faire.";"Urocitellus parryii, communément appelé le Spermophile arctique, est une espèce de rongeurs de la famille des Sciuridés."
Q917989;vivant;"Armillaria solidipes";"Armillaria ostoyae";"phare+saviez";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Un seul individu de ce champignon couvre neuf kilomètres carrés de forêt de l'Oregon sous terre et pèse peut-être des centaines de tonnes.";"Armillaria solidipes, armillaire à squames foncées ou armillaire sombre, anciennement Armillaria ostoyae est une espèce de champignons de la famille des Physalacriaceae."
Q177524;sciences;"ARPANET";"ARPANET";"phare+saviez";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Le premier message envoyé sur l'ancêtre d'Internet devait dire « login » ; le système a planté après les deux premières lettres.";"ARPANET, ou Arpanet (de l'anglais Advanced Research Projects Agency Network, aussi typographié « ARPAnet ») est l'acronyme du premier réseau à transfert de paquets de données conçu aux États-Unis par la Defense Advanced Research Projects Agency (DARPA)."
Q4804942;terre;"";"Ashfall Fossil Beds";"phare";9;1;publie;"fr";2026-09-03;;2026-09-05;"Des troupeaux entiers de rhinocéros gisent exactement là où ils sont morts asphyxiés par la cendre d'un volcan situé à seize cents kilomètres.";"The Ashfall Fossil Beds of Antelope County in northeastern Nebraska are rare fossil sites of the type called lagerstätten that, due to extraordinary local conditions, capture an ecological ""snapshot"" in time of a range of well-preserved fossilized organisms."
Q1549160;terre;"Asperitas";"Asperitas (cloud)";"phare";9;5;ecrit;"fr";2026-09-03;2026-09-07;;"Ce ciel de vagues retournées a dû attendre 2017 pour entrer dans l'atlas officiel des nuages, une première depuis plus de cinquante ans.";"Un asperitas (du latin : brutal) est une caractéristique supplémentaire de plusieurs genres de nuages et non un nuage particulier. Il fut proposé pour la première fois en 2009, sous le nom asperatus, à l'Atlas international des nuages de l'Organisation météorologique mondiale (OMM), comme formation nuageuse distincte."
Q662865;arts;"";"Baalbek Stones";"phare";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"À Baalbek, un bloc taillé de mille tonnes est resté couché dans sa carrière, jamais déplacé par ceux qui l'avaient extrait.";"La Pierre de la femme enceinte, ou Pierre du sud (en arabe : Hajar el Hibla), est située à Baalbek (anciennement Héliopolis), au Liban. Tout comme deux blocs anciens se trouvant à proximité, elle figure parmi les plus longs monolithes jamais taillés par l'homme."
Q804566;histoire;"Bal des ardents";"Bal des Ardents";"insolite+phare+saviez";9;2;publie;"fr";2026-09-03;;2026-09-05;"Le roi de France a failli brûler vif pendant un bal costumé en 1393, sauvé par une duchesse qui l'a couvert de sa robe.";"Le Bal des ardents ou Bal des sauvages désigne un charivari (aussi appelé momerie), sorte de bal masqué organisé le 28 janvier 1393 à l'Hôtel de la Reine Blanche, à Paris, auquel participe le roi de France Charles VI, et passé à la postérité en raison de l'accident dramatique qui en résulta."
Q595288;histoire;"Barrage de Banqiao";"Banqiao Dam";"phare+saviez";9;2;publie;"fr";2026-09-03;;2026-09-05;"Un barrage conçu pour résister à une crue millénaire a cédé en 1975, tuant des dizaines de milliers de personnes dans un silence officiel de vingt ans.";"Le barrage de Banqiao (en chinois simplifié : 板桥水库大坝 ; en chinois traditionnel : 板橋水庫大壩 ; en pinyin : Bǎn qiáo Shuǐ kù Dà bà) est un barrage construit en 1952 sur la rivière Ru, un affluent du Huai He, près de Zhumadian, dans la province du Henan, en république populaire de Chine."
Q2309898;histoire;"Bataille de Karánsebes";"Battle of Karánsebes";"insolite+phare";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"L'armée autrichienne se serait battue contre elle-même une nuit de 1788 après une dispute d'ivrognes sur un tonneau d'eau-de-vie.";"La bataille de Karánsebes (hongrois : Karánsebesi csata ; allemand : Rückzug von Karánsebes ; roumain : Bătălia de la Caransebeș ; turc : Şebeş Muharebesi) est un épisode probablement apocryphe de la guerre austro-turque de 1788-1791 survenu dans la nuit du 17 et 18 septembre 1788, durant laquelle l"
Q1066650;histoire;"Bataille de Los Angeles";"Battle of Los Angeles";"phare";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Dans la nuit du 25 février 1942, la ville a tiré environ mille quatre cents obus antiaériens sur un ennemi qui n'a jamais été identifié.";"La bataille de Los Angeles (appelée en anglais « The Battle of Los Angeles » ou encore « The Great Los Angeles Air Raid ») est le nom donné à un événement survenu dans la nuit du 24 au 25 février 1942, pendant la Seconde Guerre mondiale, au-dessus de Los Angeles, en Californie, aux États-Unis."
Q2415309;cosmos;"Belka et Strelka";"Belka and Strelka";"phare+saviez";9;4;ecrit;"fr";2026-09-03;2026-09-07;;"Deux chiennes ont fait dix-sept fois le tour de la Terre en 1960 ; un chiot de Strelka a fini offert à la famille Kennedy.";"Belka (Белка, littéralement « écureuil », mais en tant que nom d'animal, dérivant du mot russe pour « blanc », белый) et Strelka (Стрелка, « petite flèche ») étaient deux chiennes qui passèrent ensemble une journée dans l'espace à bord du Spoutnik 5 le 19 août 1960."
Q178799;histoire;"Benoît IX";"Pope Benedict IX";"insolite+phare+saviez";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"Un pape a occupé trois fois le trône de saint Pierre et a fini par vendre sa charge à son parrain pour pouvoir se marier.";"Benoît IX (Teofilatto dei conti di Tuscolo), né vers 1012 dans le Latium et mort entre le 18 septembre 1055 et le 9 janvier 1056 à Grottaferrata, est pape à trois reprises : du 21 octobre 1032 à septembre 1044 comme 145e pape de l'Église catholique, du 10 mars 1045 au 1er mai 1045 comme 147e pape pu"
Q641998;arts;"Beurre de tourbière";"";"phare+saviez";9;3;ecrit;"fr";2026-09-03;2026-09-07;;"Des tonneaux de beurre enfouis il y a trois mille ans ressortent des tourbières irlandaises encore gras, et théoriquement comestibles.";"Le beurre de tourbière est une substance grasse d'origine animale et de fabrication humaine, de texture cireuse et de teinte blanc crème ou jaunâtre, enfouie dans les tourbières, le plus souvent dans des contenants en bois, en particulier en Irlande."
Q863253;mysteres;"";"Billy Tipton";"phare";9;2;publie;"fr";2026-09-03;;2026-09-05;"Ce pianiste de jazz américain, marié et père adoptif de trois garçons, fut découvert à sa mort en 1989 par les ambulanciers être né femme.";"Billy Tipton, né le 29 décembre 1914 à Oklahoma City (Oklahoma), et mort le 21 janvier 1989 à Spokane (État de Washington), est un joueur de piano et de saxophone jazz américain."
Q25112525;arts;"Bleu YInMn";"";"phare";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"Un bleu inédit est sorti d'un four en 2009 alors que l'équipe cherchait tout autre chose : c'est le premier bleu nouveau depuis deux siècles.";"Le bleu YInMn, ou bleu Oregon, est un pigment minéral de formule chimique YIn1−xMnxO3, avec 0 < x < 0,75, fabriqué par hasard en 2009 à l'université d'État de l'Oregon par Mas Subramanian (en) et al., il s'agit d'un solide cristallisé dans le système hexagonal selon le groupe d'espace P63cm (no 185) avec Z = 6."
Q885118;terre;"";"Blood Falls";"insolite+phare+saviez";9;2;publie;"fr";2026-09-03;;2026-09-05;"Un glacier antarctique saigne un liquide rouge sang venu d'un lac scellé sous la glace depuis plus d'un million d'années.";"Les Blood Falls — littéralement « cascades de sang » — sont une coulée d'oxyde de fer en marge du glacier Taylor, dans les vallées sèches de McMurdo, en terre Victoria, dans la dépendance de Ross (revendiquée par la Nouvelle-Zélande), dans l'Antarctique oriental."
Q762850;sciences;"";"Bogosort";"insolite+phare";9;1;ecrit;"fr";2026-09-03;2026-09-07;;"Un algorithme sérieusement étudié mélange les cartes au hasard jusqu'à ce qu'elles tombent en ordre, et peut ne jamais terminer.";"En informatique, le tri stupide, également appelé tri du singe ou bogo-tri ou bogosort, est un algorithme de tri particulièrement inefficace. Il est présenté pour des raisons pédagogiques, par comparaison aux méthodes de tri traditionnelles, ou comme exercice."
Q170850;mysteres;"Bombardement de Zanzibar";"Anglo-Zanzibar War";"insolite+phare+saviez";9;6;ecrit;"fr";2026-09-03;2026-09-07;;"La guerre la plus courte de l'histoire a duré trente-huit minutes, le temps que le palais du sultan s'effondre sous les obus britanniques.";"Le bombardement de Zanzibar est le seul événement militaire de la guerre anglo-zanzibarite, qui oppose le Royaume-Uni à Zanzibar le 27 août 1896. Avec une durée de 38 minutes, ce conflit détient le record de la guerre la plus courte de l'histoire."
Q665328;histoire;"Bombe à chauves-souris";"Bat bomb";"insolite+phare+saviez";9;3;publie;"fr";2026-09-03;;2026-09-05;"L'armée américaine voulait larguer un million de chauves-souris porteuses de bombes incendiaires; les cobayes se sont échappés et ont incendié la base d'essai.";"La bombe à chauves-souris est une arme expérimentale de la Seconde Guerre mondiale développée aux États-Unis. Les bombes étaient constituées d'un réservoir en forme de bombe et contenant de nombreux compartiments."
Q860979;cosmos;"";"Boomerang Nebula";"phare+saviez";9;0;ecrit;"fr";2026-09-03;2026-09-07;;"À -272,15 °C, ce nuage de gaz est plus froid que le vide de l'espace lui-même, l'endroit naturel le plus glacial connu de l'univers.";"La nébuleuse du Boomerang, aussi appelée nébuleuse bipolaire du Centaure et parfois nébuleuse du Nœud papillon (à ne pas confondre avec NGC 40), est une protonébuleuse planétaire située à 5 000 années-lumière de la Terre dans la constellation du Centaure."
