n;univers;univers_nom;titre;pourquoi;refuser
639;cosmos;"Cosmos";"Sagittarius B2";"Ce nuage moléculaire du centre galactique contient du formiate d'éthyle, la molécule qui donne à la framboise son odeur.";
640;cosmos;"Cosmos";"Satellite Vela";"Des satellites espions chargés de traquer les essais nucléaires ont découvert par accident les sursauts gamma.";
641;cosmos;"Cosmos";"Sedna";"Son orbite l'emmène si loin qu'elle met 11 400 ans à faire un tour et n'a été proche qu'une fois depuis Néandertal.";
642;cosmos;"Cosmos";"Segue 1";"Cette galaxie ne contient que quelques centaines d'étoiles mais pèse comme six cents mille soleils.";
643;cosmos;"Cosmos";"Sergueï Korolev";"L'architecte de toute l'astronautique soviétique était un secret d'État : son nom n'a été révélé qu'à sa mort, en 1966.";
644;cosmos;"Cosmos";"Signal Wow!";"Soixante-douze secondes de signal radio en 1977, jamais réexpliqué, jamais réentendu.";
645;cosmos;"Cosmos";"Sirius B";"On a deviné son existence en voyant Sirius zigzaguer, avant de découvrir une étoile grosse comme la Terre et lourde comme le Soleil.";
646;cosmos;"Cosmos";"Skylab";"En retombant sur l'Australie en 1979, la station a valu à la NASA une amende de 400 dollars pour dépôt sauvage d'ordures.";
647;cosmos;"Cosmos";"Somnium";"Kepler a écrit le premier récit de voyage lunaire ; le manuscrit a servi de pièce à charge au procès en sorcellerie de sa mère.";
648;cosmos;"Cosmos";"Sonde Philae";"Elle a rebondi deux fois sur sa comète, atterri dans une crevasse à l'ombre, et travaillé 57 heures avant de s'éteindre.";
649;cosmos;"Cosmos";"Soyouz 11";"Trois cosmonautes sont morts asphyxiés par une valve défectueuse ; on les a retrouvés sanglés, indemnes en apparence.";
650;cosmos;"Cosmos";"Soyouz 23";"La capsule s'est posée de nuit sur un lac gelé, a coulé sous la glace, et l'équipage a suffoqué neuf heures dans le noir.";
651;cosmos;"Cosmos";"Soyouz T-10-1";"La fusée brûlait déjà sur son pas de tir quand la tour de sauvetage a arraché la capsule, deux secondes avant l'explosion.";
652;cosmos;"Cosmos";"Soyouz T-13";"Deux cosmonautes se sont amarrés à la main à une station morte, gelée et sans électricité, puis l'ont ressuscitée.";
653;cosmos;"Cosmos";"Spaghettification";"Près d'un petit trou noir, vos pieds seraient attirés si fort qu'ils tomberaient bien plus vite que votre tête, jusqu'à vous étirer en filament.";
654;cosmos;"Cosmos";"Spirit (rover)";"Enlisé pour de bon, le rover a labouré le sable avec sa roue bloquée et découvert ainsi de la silice pure, trace d'anciennes sources chaudes.";
655;cosmos;"Cosmos";"Stardust";"Un bloc d'aérogel a ramené des poussières de comète contenant un acide aminé et des grains cuits à mille degrés près du Soleil.";
656;cosmos;"Cosmos";"Starfish Prime";"Une bombe H explosée dans l'espace en 1962 a créé une aurore visible à Hawaï et grillé des lampadaires à 1 400 kilomètres.";
657;cosmos;"Cosmos";"SuitSat";"Une vieille combinaison spatiale russe bourrée d'un émetteur a été jetée par-dessus bord et a parlé aux radioamateurs pendant deux semaines.";
658;cosmos;"Cosmos";"Supernova SN 1006";"En 1006, des observateurs chinois et égyptiens ont vu une étoile assez brillante pour lire la nuit pendant des semaines.";
659;cosmos;"Cosmos";"Sursaut radio rapide";"Ces éclairs libèrent en une milliseconde autant d'énergie que le Soleil en trois jours entiers, et personne ne sait ce qui les produit.";
660;cosmos;"Cosmos";"Surveyor 3";"Apollo 12 a rapporté un morceau de sonde restée trois ans sur la Lune, avec des bactéries qui semblaient avoir survécu au vide.";
661;cosmos;"Cosmos";"Syndrome de Kessler";"Une seule collision pourrait déclencher une réaction en chaîne rendant l'orbite terrestre inutilisable pendant des siècles.";
662;cosmos;"Cosmos";"T Coronae Borealis";"Cette étoile explose environ tous les quatre-vingts ans et doit redevenir visible à l'œil nu d'un moment à l'autre.";
663;cosmos;"Cosmos";"TON 618";"Ce trou noir de 66 milliards de masses solaires a un horizon si large que la lumière met plus de deux semaines à le traverser.";
664;cosmos;"Cosmos";"TRAPPIST-1";"Sept planètes rocheuses tiennent dans un espace plus petit que l'orbite de Mercure ; depuis l'une, les autres paraissent aussi grosses que notre Lune.";
665;cosmos;"Cosmos";"Tension de Hubble";"Deux méthodes de mesure de l'expansion de l'univers donnent des résultats incompatibles, et l'écart grandit avec la précision.";
666;cosmos;"Cosmos";"Tesla Roadster de Falcon Heavy";"Une voiture de sport décapotable orbite autour du Soleil avec un mannequin en combinaison au volant, depuis 2018.";
667;cosmos;"Cosmos";"Titan (lune)";"Il y pleut du méthane, les rivières creusent des canyons et la gravité est si faible qu'un humain pourrait y voler avec des ailes.";
668;cosmos;"Cosmos";"TrES-2b";"Elle renvoie moins de un pour cent de la lumière reçue : plus noire que le charbon, elle ne luit que d'un rouge de braise.";
669;cosmos;"Cosmos";"Triton (lune)";"Elle orbite à l'envers autour de Neptune, preuve qu'elle a été capturée, et crache des geysers d'azote à -235 °C.";
670;cosmos;"Cosmos";"Trou noir primordial";"Certains pourraient avoir la masse d'une montagne pour la taille d'un atome, et traverser des planètes sans laisser de trace visible.";
671;cosmos;"Cosmos";"Télescope spatial Hubble";"Le miroir a été poli avec une précision parfaite selon un instrument mal assemblé de 1,3 millimètre : il a fallu lui poser des lunettes.";
672;cosmos;"Cosmos";"Télescope spatial James-Webb";"Son déploiement comportait 344 points de défaillance uniques, tous à un million et demi de kilomètres, sans réparation possible.";
673;cosmos;"Cosmos";"Télémétrie laser lunaire";"Les réflecteurs posés par Apollo prouvent que la Lune s'éloigne de nous de 3,8 centimètres par an.";
674;cosmos;"Cosmos";"UY Scuti";"Placée à la place du Soleil, sa surface engloutirait Jupiter ; un avion mettrait plus de mille ans à en faire le tour.";
675;cosmos;"Cosmos";"Ulugh Beg";"Ce sultan astronome a mesuré la durée de l'année à une minute près, avant d'être décapité sur ordre de son propre fils.";
676;cosmos;"Cosmos";"Ulysses (sonde spatiale)";"Pour survoler les pôles du Soleil, la sonde est d'abord partie dans la direction opposée, vers Jupiter.";
677;cosmos;"Cosmos";"Un point bleu pâle";"À six milliards de kilomètres, la Terre n'occupe qu'un dixième de pixel, perdue dans un reflet parasite de l'objectif.";
678;cosmos;"Cosmos";"Univers observable";"Il fait 93 milliards d'années-lumière de large alors que l'univers n'a que 13,8 milliards d'années : l'espace lui-même s'est étiré.";
679;cosmos;"Cosmos";"Uranus (planète)";"Herschel voulait la baptiser « l'astre de George » ; elle roule couchée sur le flanc, un pôle pointé vers le Soleil.";
680;cosmos;"Cosmos";"V838 Monocerotis";"En 2002, une étoile est devenue six cent mille fois plus lumineuse que le Soleil ; l'écho de ce flash illumine encore la poussière autour d'elle.";
681;cosmos;"Cosmos";"Valentina Terechkova";"Ouvrière et parachutiste amateur, la première femme dans l'espace y a passé plus de temps que tous les astronautes américains réunis.";
682;cosmos;"Cosmos";"Vanguard 1";"Lancé en 1958, ce satellite mort de la taille d'un pamplemousse est le plus vieil objet humain encore en orbite.";
683;cosmos;"Cosmos";"Venera 13";"Cette sonde soviétique a survécu 127 minutes sur Vénus, sous 90 atmosphères et 470 °C, et envoyé des photos en couleur.";
684;cosmos;"Cosmos";"Venera 7";"Premier atterrissage réussi sur une autre planète : le signal, jugé nul, n'a été retrouvé qu'après réanalyse des bandes magnétiques.";
685;cosmos;"Cosmos";"Vera Rubin";"Ses courbes de rotation ont montré que les galaxies tournent trop vite pour tenir ensemble : l'essentiel de leur masse est introuvable.";
686;cosmos;"Cosmos";"Verre libyque";"Le scarabée jaune du pectoral de Toutânkhamon est taillé dans un verre né d'un impact cosmique en plein désert.";
687;cosmos;"Cosmos";"Vide du Bouvier";"Un trou de trois cent trente millions d'années-lumière où il n'y a presque rien.";
688;cosmos;"Cosmos";"Vide local";"Notre galaxie est expulsée d'un désert cosmique vide à 260 kilomètres par seconde.";
689;cosmos;"Cosmos";"Viking (programme)";"Une des expériences biologiques de 1976 a donné un résultat positif à la vie martienne, jamais expliqué ni reproduit depuis.";
690;cosmos;"Cosmos";"Visage de Mars";"Une photo floue de 1976 a lancé des décennies de rumeurs ; en haute résolution, ce n'est qu'une colline banale.";
691;cosmos;"Cosmos";"Vladimir Komarov";"Il est parti dans un vaisseau qu'il savait défectueux pour épargner son ami Gagarine, et s'est écrasé après l'échec de son parachute.";
692;cosmos;"Cosmos";"Voie lactée";"Notre galaxie a dévoré des dizaines de galaxies naines, dont on retrouve encore les cadavres en longs courants d'étoiles.";
693;cosmos;"Cosmos";"Voorwerp de Hanny";"Une institutrice néerlandaise triant des images sur Internet a trouvé un nuage vert éclairé par un quasar éteint depuis.";
694;cosmos;"Cosmos";"Vostok 1";"Gagarine s'est éjecté et a atterri en parachute à part de sa capsule, détail dissimulé vingt ans pour valider le record.";
695;cosmos;"Cosmos";"Voyager 1";"Sa sonde emporte un ordinateur moins puissant qu'une clé de voiture et communique encore avec un émetteur de 23 watts à 24 milliards de kilomètres.";
696;cosmos;"Cosmos";"Voyager Golden Record";"Des salutations en 55 langues et le battement de cœur d'une femme amoureuse voyageront un milliard d'années dans le vide.";
697;cosmos;"Cosmos";"Vulcain (planète hypothétique)";"Pendant cinquante ans, des astronomes ont cru voir une planète entre Mercure et le Soleil ; c'était la relativité générale qui manquait.";
698;cosmos;"Cosmos";"Vénus (planète)";"Un jour y dure plus longtemps qu'une année, et le Soleil s'y lève à l'ouest.";
699;cosmos;"Cosmos";"WASP-12b";"Cette planète est dévorée par son étoile et absorbe 94 % de la lumière qui la frappe : elle est plus noire que l'asphalte.";
700;cosmos;"Cosmos";"WASP-76 b";"Le fer s'y évapore côté jour et retombe en pluie métallique côté nuit.";
701;cosmos;"Cosmos";"WISE 0855-0714";"L'objet le plus froid connu hors du Système solaire affiche moins vingt-trois degrés et abriterait des nuages d'eau.";
702;cosmos;"Cosmos";"WR 104";"Cette étoile mourante dessine une spirale parfaite et pointe peut-être son axe, et ses futurs jets, vers nous.";
703;cosmos;"Cosmos";"William Herschel";"Musicien d'orchestre, il polissait ses miroirs seize heures d'affilée, sa sœur le nourrissant à la cuillère, et il a doublé la taille du Système solaire.";
704;cosmos;"Cosmos";"Williamina Fleming";"Femme de ménage engagée par un patron excédé par ses assistants, elle a classé dix mille étoiles et repéré la nébuleuse de la Tête de Cheval.";
705;cosmos;"Cosmos";"Znamia (satellite)";"La Russie a déployé en orbite un miroir de vingt mètres pour éclairer la nuit des villes sibériennes avec du soleil réfléchi.";
706;cosmos;"Cosmos";"Zond 5";"Les premiers êtres vivants à contourner la Lune furent deux tortues, revenues avec dix pour cent de masse en moins.";
707;cosmos;"Cosmos";"Zone d'évitement";"Un cinquième du ciel nous est masqué par notre propre galaxie ; on y découvre encore des galaxies géantes toutes proches.";
708;cosmos;"Cosmos";"Ère stellifère";"Nous vivons dans les premiers 0,00000001 % de l'histoire de l'univers : l'époque des étoiles est un flash de jeunesse.";
709;cosmos;"Cosmos";"Écho 1";"Un ballon de trente mètres gonflé en orbite renvoyait les appels téléphoniques et brillait plus fort que presque toutes les étoiles.";
710;cosmos;"Cosmos";"Éclipse de Thalès";"Une éclipse de Soleil aurait interrompu net une bataille entre Mèdes et Lydiens, en 585 avant notre ère.";
711;cosmos;"Cosmos";"Éclipse solaire du 29 mai 1919";"Deux expéditions ont photographié des étoiles à côté du Soleil éteint et rendu Einstein mondialement célèbre en une nuit.";
712;cosmos;"Cosmos";"Énergie sombre";"Une force inconnue représentant 68 % de l'univers accélère son expansion, et on ignore totalement ce qu'elle est.";
713;cosmos;"Cosmos";"Équation de Drake";"Une formule dont chaque terme est si incertain que le résultat oscille entre une civilisation et cent millions.";
714;cosmos;"Cosmos";"Étoile de Barnard";"Elle parcourt en ligne droite un diamètre lunaire tous les cent quatre-vingts ans : record absolu de mouvement apparent dans le ciel.";
715;cosmos;"Cosmos";"Étoile de Przybylski";"Son atmosphère contient des éléments radioactifs artificiels dont la demi-vie ne dépasse pas quelques centaines d'années, donc fabriqués récemment.";
716;cosmos;"Cosmos";"Étoile de Scholz";"Il y a soixante-dix mille ans, une étoile double a traversé le nuage d'Oort, bien plus près que nos voisines actuelles.";
717;cosmos;"Cosmos";"Étoile à neutrons";"Une cuillère à café de sa matière pèse un milliard de tonnes, et sa croûte est dix milliards de fois plus résistante que l'acier.";
718;cosmos;"Cosmos";"Événement de Carrington";"En 1859, une tempête solaire a mis le feu à des bureaux de télégraphe ; le même événement aujourd'hui coûterait des milliers de milliards.";
719;cosmos;"Cosmos";"Événement de Miyake";"Les cernes des arbres de l'an 774 gardent la trace d'une bouffée de rayons cosmiques qui date aujourd'hui les villages vikings à l'année près.";
720;cosmos;"Cosmos";"Événement de la Toungouska";"En 1908, un objet céleste a couché 80 millions d'arbres en Sibérie sans laisser le moindre cratère.";
721;cosmos;"Cosmos";"ʻOumuamua";"Le premier objet venu d'un autre système solaire, reparti avant qu'on ait pu le regarder correctement.";
722;esprit;"Corps & Esprit";"ABCC11";"Un seul gène décide si votre cérumen est sec ou collant — et, du même coup, si vous sentez sous les bras.";
723;esprit;"Corps & Esprit";"Achromatopsie cérébrale";"Après un accident, un peintre a cessé de voir les couleurs, y compris dans ses rêves et dans ses souvenirs d'enfance.";
724;esprit;"Corps & Esprit";"Achromatopsie de Pingelap";"Sur cet atoll du Pacifique, un typhon de 1775 a laissé une population dont près d'une personne sur dix ne voit strictement aucune couleur.";
725;esprit;"Corps & Esprit";"Adermatoglyphie";"Quelques familles au monde naissent sans aucune empreinte digitale ; on a surnommé cela la maladie du retard à l'immigration.";
726;esprit;"Corps & Esprit";"Adrian Owen";"Une patiente jugée végétative a répondu « oui » en imaginant jouer au tennis, son cerveau s'allumant à la demande dans le scanner.";
727;esprit;"Corps & Esprit";"Agnosie visuelle";"Incapable de dire l'orientation d'une fente, une patiente y glissait pourtant une carte du premier coup : voir et agir empruntent deux circuits séparés.";
728;esprit;"Corps & Esprit";"Agénésie du cervelet";"Une femme de vingt-quatre ans a consulté pour des vertiges ; l'IRM a révélé qu'elle vivait depuis toujours sans cervelet.";
729;esprit;"Corps & Esprit";"Akinétopsie";"Une patiente voyait le réel comme une suite de photos figées : le café restait immobile dans la tasse, puis débordait sans transition.";
730;esprit;"Corps & Esprit";"Al Herpin";"Ce New-Jersiais aurait passé sa vie sans jamais dormir, se contentant de se balancer dans un fauteuil jusqu'au matin.";
731;esprit;"Corps & Esprit";"Albert Hofmann";"Il a absorbé par la peau une molécule oubliée sur une étagère, puis est rentré chez lui à vélo dans un monde en fusion.";
732;esprit;"Corps & Esprit";"Alexie sans agraphie";"Un patient peut écrire une longue lettre parfaitement construite et se révéler incapable de relire la phrase qu'il vient tout juste de tracer.";
733;esprit;"Corps & Esprit";"Alexis St. Martin";"Une blessure par balle lui a laissé un orifice permanent vers l'estomac ; son médecin y a fait pendre des aliments au bout d'un fil pendant des années.";
734;esprit;"Corps & Esprit";"Ali Maow Maalin";"Dernier malade de la variole naturelle sur Terre en 1977, il a ensuite passé sa vie à vacciner des enfants contre la polio.";
735;esprit;"Corps & Esprit";"Allergie à l'alpha-gal";"La morsure d'une tique peut rendre allergique à la viande rouge, avec une réaction qui ne survient que six heures après le repas.";
736;esprit;"Corps & Esprit";"Amnésie globale transitoire";"Pendant quelques heures, une personne pose la même question toutes les deux minutes, puis tout revient d'un coup et rien ne se reproduit jamais.";
737;esprit;"Corps & Esprit";"Amnésie infantile";"Vos trois premières années sont effacées pour presque tout le monde, alors que c'est le moment où vous appreniez le plus vite.";
738;esprit;"Corps & Esprit";"Amorçage";"Lire des mots liés à la vieillesse devait faire marcher plus lentement ; l'expérience la plus citée de la psychologie sociale ne se reproduit pas.";
739;esprit;"Corps & Esprit";"Amusie congénitale";"Environ une personne sur vingt ne reconnaît ni une mélodie ni une fausse note, et trouve la musique aussi émouvante qu'un bruit de casseroles.";
740;esprit;"Corps & Esprit";"Analgésie congénitale";"Ces enfants ne ressentent aucune douleur, se cassent des os sans le remarquer, et doivent apprendre par cœur la liste de ce qui est dangereux.";
741;esprit;"Corps & Esprit";"Ancrage (psychologie)";"Faites tourner une roue de loterie devant quelqu'un : le chiffre sorti influencera son estimation du nombre de pays africains à l'ONU.";
742;esprit;"Corps & Esprit";"Anesthésie générale";"On éteint la conscience de millions de personnes chaque année sans savoir précisément comment cela fonctionne.";
743;esprit;"Corps & Esprit";"Anna Bågenholm";"Une skieuse est revenue à la vie après plus d'une heure sous la glace, avec une température corporelle descendue à 13,7 °C.";
744;esprit;"Corps & Esprit";"Anosognosie";"Paralysée du côté gauche, une patiente soutient qu'elle va parfaitement bien et explique qu'elle ne lève pas ce bras parce qu'elle n'en a pas envie.";
745;esprit;"Corps & Esprit";"Ansel Bourne";"Ce prédicateur a disparu, tenu une boutique sous un autre nom pendant deux mois, puis s'est réveillé terrifié sans aucun souvenir de cette vie.";
746;esprit;"Corps & Esprit";"Aphantasie";"Certaines personnes ne voient absolument rien quand elles ferment les yeux. Elles l'apprennent souvent vers quarante ans.";
747;esprit;"Corps & Esprit";"Aphasie de Wernicke";"Ces patients parlent avec une aisance, une mélodie et une grammaire impeccables, mais leurs phrases ne veulent strictement rien dire, et ils ne s'en aperçoivent pas.";
748;esprit;"Corps & Esprit";"ApoA-1 Milano";"Les habitants d'un village lombard mangent gras, ont des artères impeccables, et doivent tout à un ancêtre né vers 1780.";
749;esprit;"Corps & Esprit";"Aspartame";"Un chimiste s'est léché le doigt pour tourner une page et a découvert un édulcorant deux cents fois plus sucré que le sucre.";
750;esprit;"Corps & Esprit";"Asperge";"L'urine change d'odeur chez presque tout le monde après un plat d'asperges, mais une partie de la population est génétiquement incapable de la sentir.";
751;esprit;"Corps & Esprit";"Aymara";"Ils désignent l'avant de leur corps pour parler du passé, qu'on a vu, et l'arrière pour l'avenir, qu'on ne voit pas.";
752;esprit;"Corps & Esprit";"Bajau";"Leur rate, d'un tiers plus grosse, leur sert de réserve de sang oxygéné : ils plongent en apnée toute la journée à plus de dix mètres.";
753;esprit;"Corps & Esprit";"Barry Marshall";"Pour prouver qu'une bactérie causait l'ulcère, un médecin a bu une culture d'Helicobacter pylori, est tombé malade, et a décroché le Nobel.";
754;esprit;"Corps & Esprit";"BrainGate";"Une femme tétraplégique depuis quinze ans a bu son café toute seule en pilotant un bras robotisé par la pensée.";
755;esprit;"Corps & Esprit";"Bâillement contagieux";"Lire le mot suffit souvent à déclencher un bâillement, et l'effet est nettement plus fort avec vos proches qu'avec des inconnus.";
756;esprit;"Corps & Esprit";"CCR5";"Une personne d'origine européenne sur cent porte une serrure cassée qui empêche purement et simplement le VIH d'entrer dans ses cellules.";
757;esprit;"Corps & Esprit";"Casque de Dieu";"Des champs magnétiques faibles autour du crâne ont fait ressentir à des volontaires une « présence » dans la pièce ; l'expérience résiste mal aux réplications.";
758;esprit;"Corps & Esprit";"Cellule de grille";"Certains de vos neurones pavent l'espace d'un quadrillage hexagonal parfait : un GPS biologique dans votre tête, récompensé par un prix Nobel.";
759;esprit;"Corps & Esprit";"Cerveau d'Albert Einstein";"Le pathologiste l'a emporté sans autorisation, découpé en 240 blocs, et gardé des décennies dans des bocaux à cidre.";
760;esprit;"Corps & Esprit";"Cerveau divisé";"Chez ces opérés, la main gauche reboutonne ce que la main droite vient de déboutonner, et chaque moitié du cerveau ignore ce que l'autre a vu.";
761;esprit;"Corps & Esprit";"Chambre d'Ames";"Dans cette pièce truquée, une personne semble grandir de moitié en marchant simplement d'un coin à l'autre.";
762;esprit;"Corps & Esprit";"Charles Osborne";"Il a eu le hoquet sans interruption pendant soixante-huit ans, s'est marié deux fois, et le hoquet s'est arrêté un an avant sa mort.";
763;esprit;"Corps & Esprit";"Chatouillement";"Impossible de se chatouiller soi-même : le cervelet prédit votre geste et annule la sensation avant qu'elle n'arrive.";
764;esprit;"Corps & Esprit";"Chimérisme";"Une mère américaine a échoué à un test ADN censé prouver qu'elle était la mère de ses propres enfants : elle porte deux génomes différents.";
765;esprit;"Corps & Esprit";"Chirurgie placebo";"Des patients opérés du genou pour de faux, trois incisions et rien d'autre, allaient aussi bien deux ans plus tard que les vrais opérés.";
766;esprit;"Corps & Esprit";"Christiaan Barnard";"Le premier greffé du cœur, en 1967, s'est réveillé, a parlé et mangé, avant de mourir d'une pneumonie dix-huit jours plus tard.";
767;esprit;"Corps & Esprit";"Chronostase";"En tournant les yeux vers une horloge, la première seconde paraît plus longue : votre cerveau recolle le temps qu'il a effacé pendant le mouvement.";
768;esprit;"Corps & Esprit";"Clint Hallam";"Premier greffé d'une main, il a fini par exiger qu'on la lui coupe : il ne l'avait jamais reconnue comme sienne.";
769;esprit;"Corps & Esprit";"Clive Wearing";"Sa mémoire dure sept secondes : il note sans cesse « je me réveille enfin », rature la ligne d'avant, et retrouve sa femme avec extase toutes les vingt minutes.";
770;esprit;"Corps & Esprit";"Complexe majeur d'histocompatibilité";"Des femmes ont reniflé des tee-shirts portés par des inconnus et préféré, sans le savoir, ceux des hommes au système immunitaire le plus différent du leur.";
771;esprit;"Corps & Esprit";"Confabulation";"Demandez à quelqu'un pourquoi il a choisi ceci plutôt que cela : son cerveau invente instantanément une explication convaincante, sans jamais signaler qu'il improvise.";
772;esprit;"Corps & Esprit";"Coriandre";"Une variante d'un gène de l'odorat fait percevoir un goût de savon là où d'autres sentent une herbe fraîche, et la dispute est génétique.";
773;esprit;"Corps & Esprit";"Craniotomie en éveil";"On opère le cerveau d'un violoniste pendant qu'il joue, pour vérifier à chaque coupe qu'aucune note ne se perd.";
774;esprit;"Corps & Esprit";"Crise de la reproductibilité";"En rejouant cent expériences de psychologie célèbres, moins de quarante ont redonné le même résultat.";
775;esprit;"Corps & Esprit";"Cryptomnésie";"On peut « inventer » sincèrement une mélodie qu'on a entendue puis oubliée, et plusieurs procès de plagiat célèbres se sont conclus là-dessus.";
776;esprit;"Corps & Esprit";"Cynarine";"Mangez un artichaut, buvez un verre d'eau : elle vous paraîtra nettement sucrée, parce que la molécule a désactivé vos récepteurs.";
777;esprit;"Corps & Esprit";"Cécité au changement";"Un passant qui vous demande son chemin peut être remplacé par un autre homme derrière un panneau : la moitié des gens ne remarquent rien.";
778;esprit;"Corps & Esprit";"Cécité d'inattention";"Occupés à compter des passes de ballon, la moitié des spectateurs ne voient pas un homme déguisé en gorille traverser lentement l'écran.";
779;esprit;"Corps & Esprit";"Cécité de choix";"On échange en douce le portrait que vous venez de préférer, puis on vous demande pourquoi : vous justifiez chaleureusement un choix qui n'est pas le vôtre.";
780;esprit;"Corps & Esprit";"Céphalée de la crème glacée";"La douleur glacée n'est pas dans votre front : c'est votre palais qui souffre, et votre cerveau se trompe d'adresse.";
781;esprit;"Corps & Esprit";"DEC2";"Certaines familles dorment quatre heures par nuit toute leur vie, sans dette de sommeil ni la moindre conséquence.";
782;esprit;"Corps & Esprit";"Daniel Tammet";"Il a récité 22 514 décimales de pi en parcourant du regard un paysage coloré que les chiffres formaient dans sa tête.";
783;esprit;"Corps & Esprit";"Disulfirame";"Des ouvriers du caoutchouc tombaient malades dès qu'ils buvaient un verre : on en a tiré un traitement de l'alcoolisme.";
784;esprit;"Corps & Esprit";"Douleur du nouveau-né";"Jusque dans les années 1980, on opérait des nourrissons sans anesthésie, persuadé qu'ils ne ressentaient pas la douleur.";
785;esprit;"Corps & Esprit";"Duncan MacDougall";"En 1907, il a pesé des mourants sur une balance pour mesurer l'âme et annoncé 21 grammes ; il avait six patients et un seul résultat exploitable.";
786;esprit;"Corps & Esprit";"Dépersonnalisation";"Des millions de gens ont déjà vécu la sensation très nette d'assister à leur propre vie de l'extérieur, comme derrière une vitre.";
787;esprit;"Corps & Esprit";"EPAS1";"Les Tibétains respirent à 4 000 mètres grâce à une version de gène héritée des Dénisoviens, une espèce humaine disparue.";
788;esprit;"Corps & Esprit";"Effet Barnum";"Distribuez à toute une classe le même horoscope générique : chacun se reconnaît et note la description autour de 4,5 sur 5.";
789;esprit;"Corps & Esprit";"Effet Ganzfeld";"Une lumière uniforme et un bruit constant suffisent à faire halluciner en quelques minutes un cerveau privé d'information.";
790;esprit;"Corps & Esprit";"Effet Hawthorne";"Dans une usine américaine, la productivité montait quand on augmentait l'éclairage — et montait aussi quand on le baissait.";
791;esprit;"Corps & Esprit";"Effet IKEA";"Un meuble que vous avez monté vous-même vaut, à vos yeux, nettement plus cher qu'un meuble identique livré assemblé.";
792;esprit;"Corps & Esprit";"Effet Mandela";"Des millions de personnes se souviennent avec précision d'un logo, d'une réplique ou d'une mort qui n'ont jamais existé sous cette forme.";
793;esprit;"Corps & Esprit";"Effet McClintock";"L'idée que les femmes vivant ensemble synchronisent leurs cycles a fait le tour du monde ; quarante ans de données n'ont jamais réussi à la confirmer.";
794;esprit;"Corps & Esprit";"Effet McGurk";"Regardez des lèvres articuler « ga » sur un son « ba » : vous entendez « da », et l'illusion tient même quand on vous l'a expliquée.";
795;esprit;"Corps & Esprit";"Effet Mozart";"Une petite étude sur dix minutes de rotation mentale est devenue le mythe des bébés rendus intelligents par Mozart, jusqu'à des CD offerts par un État américain.";
796;esprit;"Corps & Esprit";"Effet Purkinje";"À la tombée du jour, les rouges s'éteignent et les bleus se mettent à briller, alors que rien n'a changé dans le paysage.";
797;esprit;"Corps & Esprit";"Effet Pygmalion";"Désignez au hasard quelques élèves comme promis à des progrès : leurs résultats montent vraiment, parce que le maître les regarde autrement.";
798;esprit;"Corps & Esprit";"Effet Stroop";"Essayez de nommer la couleur du mot « ROUGE » écrit en vert : votre cerveau lit d'abord, et il ne vous demande pas votre avis.";
799;esprit;"Corps & Esprit";"Effet Tetris";"Des amnésiques incapables de se rappeler avoir joué rêvaient quand même, la nuit suivante, de pièces qui tombent.";
800;esprit;"Corps & Esprit";"Effet Troxler";"Fixez un point sans bouger les yeux : les couleurs autour s'effacent réellement, parce que votre vision jette ce qui ne change pas.";
801;esprit;"Corps & Esprit";"Effet Zeigarnik";"Les serveurs se rappellent parfaitement les commandes en cours et les oublient à la seconde où l'addition est payée.";
802;esprit;"Corps & Esprit";"Effet bouba/kiki";"Montrez une forme ronde et une forme pointue : sur presque toute la planète, la ronde s'appelle bouba et la pointue kiki.";
803;esprit;"Corps & Esprit";"Effet cocktail party";"Dans un brouhaha où vous ne comprenez plus rien, votre prénom prononcé à l'autre bout de la pièce vous parvient instantanément.";
804;esprit;"Corps & Esprit";"Effet consécutif de mouvement";"Fixez une cascade pendant une minute, puis regardez la roche : elle remonte sans bouger d'un millimètre.";
805;esprit;"Corps & Esprit";"Effet de désinformation";"Une question mal formulée après un accident suffit à ajouter des vitres brisées dans le souvenir de témoins parfaitement sincères.";
806;esprit;"Corps & Esprit";"Effet de leurre";"Ajoutez une option volontairement médiocre au menu et les clients basculent en masse vers celle que vous vouliez leur vendre.";
807;esprit;"Corps & Esprit";"Effet de première nuit";"La première nuit dans un lit inconnu, un hémisphère de votre cerveau dort moins profondément que l'autre, comme une sentinelle de garde.";
808;esprit;"Corps & Esprit";"Effet de simple exposition";"Vous préférez votre visage dans un miroir, vos proches vous préfèrent en photo : chacun aime la version qu'il voit le plus souvent.";
809;esprit;"Corps & Esprit";"Effet du projecteur";"Vous êtes convaincu que tout le monde a remarqué votre tache ou votre tee-shirt ridicule ; en réalité, deux fois moins de gens que vous ne le pensez.";
810;esprit;"Corps & Esprit";"Effet nocebo";"On peut développer des effets secondaires bien réels à partir de gélules de sucre, simplement parce qu'on vous a lu la liste des risques.";
811;esprit;"Corps & Esprit";"Effet placebo";"De fausses opérations du genou soulagent autant que les vraies, et des pilules annoncées comme placebos fonctionnent encore.";
812;esprit;"Corps & Esprit";"Effet stroboscopique";"En pleine lumière continue, une roue qui accélère semble tourner à l'envers : votre cerveau échantillonne le monde par saccades.";
813;esprit;"Corps & Esprit";"Elizabeth Loftus";"Des chercheurs ont implanté chez des adultes le souvenir détaillé et totalement faux de s'être perdus enfants dans un centre commercial.";
